id,type,url,description,name,permalink,state,banner-url,restrict-forum-creation,description-display-mode,visibility-mode,platform-analytics-tag-list,project-tag-list,image-url,image-caption,image-description,text-wrap-mode,subscribers-count,view-count,home-project,published-at,forum-topics,survey-tools,banner-caption,quick-poll-layout,created-at,updated-at,archival-reason-message,access,contribution-count,is-social-sharing-modal-enabled,role-in-current-context,can-contribute,scheduled-at,parent-id,meta-description,meta-keywords,redirect-url
12267,projects,https://engagevancouver.ca.engagementhq.com/vancouver-plan,"<h2><strong>The draft Vancouver Plan, a long-term strategy to support growth and change across the city</strong></h2><p>On Friday, July 22, 2022, Council approved the Vancouver Plan &ndash; a citywide land-use strategy was that will create a more equitable, livable, affordable, and resilient city. </p><p>The approved Vancouver Plan introduces a new way for the city to grow by allowing more housing options across all neighbourhoods and builds complete neighbourhoods that connect people to public spaces, shops, services and transit.</p><p>The Plan reinforces Vancouver as the cultural and economic centre of a dynamic, prosperous and rapidly growing region, which is expected to grow by about a million people over the next 30 years. </p><p>Significantly, the Vancouver Plan contains the first comprehensive ecological framework, making Vancouver more climate resilient by restoring ecosystems and protecting green space and tree canopies. It coincides with Vancouver&rsquo;s future transit network and works toward the City&rsquo;s climate target of having 90% of people living within an easy walk or roll of their jobs and daily activities.</p><p>In addition to the land-use strategy, the plan also contains an array of supporting policies, which provide guidance on topics such as transportation, community amenities, childcare, public spaces, food systems and more.</p><p>Visit <a href=""https://vancouverplan.ca/"" target=""_blank""><input type=""button"" style=""background-color:#00a09c; color:white;width:150px; height:30px; background-position: left bottom;"" value=""vancouverplan.ca"" class=""fr-rounded""></a> to learn more about the Vancouver Plan and our previous phases of engagement.</p><h3><strong>What&#39;s next?</strong></h3><p>City Council also passed a series of amendments directing staff to undertake further work to consider Missing Middle housing options, protections for renters, a well-being framework, and a number of other considerations. </p><p><a href=""http://list.vancouver.ca/t/524462/974200/13345/30/"">Read the amended motion for the Vancouver Plan</a></p><p>Staff will shortly begin working on implementing the approved Plan, including updating existing plans and policies to ensure they are aligned with Vancouver Plan. </p><p>Some of the early actions underway are:</p><ul class=""decimal_type""><li><a href=""http://list.vancouver.ca/t/524462/974200/13346/31/"">Area Plan development for Rupert and Renfrew Stations</a></li><li><a href=""http://list.vancouver.ca/t/524462/974200/10525/32/"">Updates to the Housing Action Plan</a></li><li><a href=""http://list.vancouver.ca/t/524462/974200/13347/33/"">Advancement of Multiplex Housing</a></li></ul><p>Thank you to everyone who provided input over the past 2.5 years and helped shape the direction of the Vancouver Plan. We look forward to future engagement with you through the implementation phase over the coming months and years.</p><p>Sign up to the newsletter to stay involved!</p>",Vancouver Plan                                                                                         ,vancouver-plan,published,,TRUE,detailed,Public,"City planning, Citywide, Project","City planning, Citywide, Project",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1649359491/4e9142978e3d712de43b2bfa6c5a03d0_blob?1649359491-unsplash--undefined,Planning Vancouver Together,Image: text reads “Planning Vancouver Together” above illustration of people representing diverse backgrounds and abilities standing/sitting on platforms to bring them to an equal height.,textwrap_left,0,30666,FALSE,2021-05-13T14:14:50-04:00,0,3,Planning Vancouver Together. Image of three umbrellas,tool,2020-01-21T15:37:25-05:00,2022-08-08T19:01:45-04:00,Consultation has concluded,FALSE,1230,FALSE,participant,TRUE,NA,NA,NA,NA,NA
12339,projects,https://engagevancouver.ca.engagementhq.com/rental-rz,"<p><br></p><div class=""fr-img-space-wrap""><span class=""fr-img-caption fr-fic fr-dii fr-fir"" style=""width: 339px;""><span class=""fr-img-wrap""><img src=""https://s3.ca-central-1.amazonaws.com/ehq-production-canada/fdc90153d710389353dd20894679c4ce5a17e729/original/1619115035/ba1e05bf975db39b78c66b02ac7ccc56_5080_Quebec_-_5-storey.jpg?1619115035"" alt=""Photo of 5080 Quebec St. 5-Storey Building""><span class=""fr-inner""></span></span></span></div><p class=""fr-img-space-wrap2""><strong>Council approved Streamlining Rental at Public Hearing on December 14, 2021. </strong><br><br>As Vancouver grows, we need to ensure there are a variety of housing options to meet the diverse needs and range of household incomes of people who live and work here. Building more secure rental housing in all areas of the city is a critical component to this.</p><p>The majority of Vancouver&rsquo;s households are renters, and the need for secure rental housing has grown as fewer are able afford the rapidly rising costs of homeownership. In the mid 1970s, strata condos began to dominate new apartment construction and almost no new secure rental housing was built in Vancouver for 30 years. These lost decades resulted in a significant shortfall of rental that has contributed to the current housing crisis. While the City introduced incentives for the construction of new rental housing in 2009 that have resulted in some new rental buildings, there is still a lot of catching up required to meet the need rental housing need.</p><p>In November 2019, following a 10 year review of the City&rsquo;s Rental Incentive Programs, Council approved the <a href=""https://bylaws.vancouver.ca/zoning/policy-rezoning-secured-rental.pdf"" rel=""noopener noreferrer"" target=""_blank""><strong>Secured Rental Policy</strong></a><strong>. This policy consolidates, updates and strengthens rental incentive policies that have been in place in Vancouver for over a decade. </strong>The Secured Rental Policy identifies two key changes needed to make it easier to building secure rental housing in Vancouver:</p><ol><li>Changes to C-2 zoning to allow new 6 storey rental buildings through the same process as new 4 storey condo buildings (without rezoning)<br><br></li><li>Changes to policy for rezoning in low-density areas (RS or RT zones) to simplify the process by standardizing regulations through new rental zones, focusing on areas within walking distance of public transportation, shopping and other daily needs</li></ol><p><strong>Learn more about the </strong><a href=""https://shapeyourcity.ca/rental-rz/news_feed/proposed-actions"" rel=""noopener noreferrer"" target=""_blank""><strong>proposed actions</strong></a>.</p><p>The updated Secured Rental Policy is the<span style=""background-color: transparent;""> </span>outcome of extensive public and stakeholder consultation over the last 4 years<strong style=""background-color: transparent;"">, </strong><span style=""background-color: transparent;"">including what we&rsquo;ve heard through engagement on the </span><a href=""https://vancouver.ca/people-programs/housing-vancouver-strategy.aspx"" rel=""noopener noreferrer"" target=""_blank""><span style=""background-color: transparent;"">Housing Vancouver Strategy</span></a><span style=""background-color: transparent;""> and 3-Year Action Plan (2017), </span><a href=""https://vancouver.ca/people-programs/creating-new-market-rental-housing.aspx"" rel=""noopener noreferrer"" target=""_blank""><span style=""background-color: transparent;"">the Rental Incentive Program Review</span></a><span style=""background-color: transparent;""> (2019), and the </span><a href=""https://vancouver.ca/people-programs/creating-new-market-rental-housing.aspx"" rel=""noopener noreferrer"" target=""_blank""><span style=""background-color: transparent;"">Secured Rental Policy implementation work</span></a><span style=""background-color: transparent;""> for C-2 zones and low-density areas (2020).</span></p>",Streamlining Rental: Making it easier to build secure rental housing in more neighbourhoods,rental-rz,archived,,TRUE,truncated,Public,"Housing, Citywide, Project, Closed","Housing, Citywide, Project, Closed",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/fdc90153d710389353dd20894679c4ce5a17e729/original/1592418456/5080_Quebec_-_5-storey.jpg_15c58b364e1d73e4aa5f00c61717b8c5?1592418456,Example of a 5 storey apartment building,Example of a 5 storey apartment building,textwrap_default,0,49094,FALSE,2021-05-13T19:00:50-04:00,0,2,,tool,2020-01-27T14:11:20-05:00,2023-10-05T17:22:28-04:00,Consultation has concluded,FALSE,2141,FALSE,participant,TRUE,2022-01-19T14:00:00-05:00,NA,NA,NA,NA
12417,projects,https://engagevancouver.ca.engagementhq.com/participatory-budgeting,"<h3>How would you spend $100,000 in Vancouver&#39;s West End?</h3><p>In late 2017, City staff proposed the first ever participatory budgeting (PB) process in the West End to distribute additional revenue collected through permit parking fees. A total of $100,000 of this parking revenue was approved by Council for the purpose of this pilot project.</p><p>In fall of 2018, staff helped convene the WE Choo$e Impact Team, a community-led steering committee, to guide and oversee the process. The Impact Team has, since then, led the community idea collection and project proposal development.</p><p>On February 4, 2020, the Impact Team completed the community vote and the results of the vote was brought to <a href=""https://council.vancouver.ca/20200331/documents/8.pdf"" rel=""noopener noreferrer"" target=""_blank"">City Council for approval</a> [PDF, 80KB] on March 31, 2020.&nbsp;</p><p><strong>For more information on:</strong></p><ul><li>the voting process and the 14 shortlisted projects, please read the <a href=""https://vancouver.ca/files/cov/we-choose-voting-and-projects-guide.pdf"" rel=""noopener noreferrer"" target=""_blank"">Voters&#39; Guidebook</a></li><li>the process and how the community is involved, please read the <a href=""https://vancouver.ca/files/cov/we-choose-rulebook.pdf"" rel=""noopener noreferrer"" target=""_blank"">Rulebook</a></li></ul>",West End participatory budgeting pilot,participatory-budgeting,archived,,TRUE,detailed,Public,Project,Project,https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1706224447/9f88a02b8f96c89767d16e4611ac08d2_blob?1706224447-unsplash--undefined,Participatory Budgeting,Participatory Budgeting,textwrap_right,0,2782,FALSE,2020-02-05T12:12:57-05:00,0,0,,tool,2020-01-30T13:03:05-05:00,2024-01-25T18:20:24-05:00,<p>Consultation has concluded.</p>,FALSE,0,FALSE,participant,TRUE,NA,NA,NA,NA,NA
12536,projects,https://engagevancouver.ca.engagementhq.com/jericho-lands,"<h3>About the Jericho Lands planning program</h3><p>The Jericho Lands are within the unceded traditional territories of the xʷmə&theta;kʷəy̓əm (Musqueam), Sḵwx̱w&uacute;7mesh (Squamish), and səlilwətaɬ (Tsleil-Waututh) Nations. The planning program is a comprehensive planning process which will create a policy statement to guide future development of the 90-acre site.</p><p>The program is being developed at the request of the landowners, a joint venture partnership between the MST Development Corporation, and Canada Lands Company (CLC).</p><p>The planning program will explore priorities including:</p><ul><li>Ways to advance our collective work toward reconciliation</li><li>Creating a complete community with a range of housing options with different income levels and tenures</li><li>Providing new housing within a walking distance of existing and future transit routes, including a potential SkyTrain extension to UBC</li><li>Providing shops, services, childcare, and employment space to support the new community and the rest of the city</li><li>Recognizing and celebrating cultural and heritage assets</li><li>Creating new parks and open spaces, and a package of other community amenities</li></ul><h3><br></h3>",Jericho Lands planning program,jericho-lands,published,,TRUE,detailed,Public,"West Point Grey, Public space, Active transportation, City planning, Housing, Project, In progress","West Point Grey, Public space, Active transportation, City planning, Housing, Project, In progress",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1677874558/79d428032dee8b97962fa226f9685d2d_blob?1677874558-unsplash--undefined,Aerial photograph of Jericho Lands and Jericho Park,Aerial image of the Jericho Lands ,textwrap_right,0,81437,FALSE,2020-07-08T16:50:01-04:00,0,8,,tool,2020-02-10T14:24:26-05:00,2024-01-30T17:09:05-05:00,NA,FALSE,4317,FALSE,participant,TRUE,NA,NA,NA,NA,NA
12541,projects,https://engagevancouver.ca.engagementhq.com/britannia-renewal,"<p>The City of Vancouver, Vancouver Board of Parks and Recreation, Vancouver Public Library and Britannia Community Services Centre have been working with the community on the renewal of the Britannia Community Services Centre Society (BCSCS) and the 17.04 acre site.</p><p>Like most redevelopment projects, planning for the Britannia Renewal has been undertaken through a phased approach, moving forward as funding was secured.</p><p><strong><span style=""font-size: 18px;"">What&#39;s happening?</span></strong></p><p>The project had dedicated funding for some building design and early rezoning planning for the renewal.</p><p>Funding is required to move forward with future phases of the plan, including construction, and unfortunately, this funding is not in place.</p><p>It has become apparent that maintenance and repairs for existing facilities at Britannia have become even more urgent. Directing existing funding to invest in those critical maintenance and repairs will help ensure the centre continues to provide services that meet community needs.</p><p><strong><span style=""font-size: 18px;"">Next Steps </span></strong></p><p>Partners are shifting from planning for the renewal to assessing those critical maintenance needs and prioritizing that work.</p><p>Project partners recognize Britannia offers important programs and services to the Grandview-Woodland and Strathcona communities. Work to date on the renewal, done alongside the community, are necessary tools that will serve as a foundation for any future planning. We thank the community for your support and participation in this project.</p><p><strong><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 18px;"">Background</span></strong></p><p>In 2018, the City of Vancouver, Vancouver Board of Parks and Recreation, Vancouver Public Library and Britannia Community Services Centre Society adopted a master plan that was co-created with the community and set out the vision for the renewal of the Britannia Services Centre site. The renewal involved project partners developing site-wide options that look at the overall placement of building relationships, heights, outdoor spaces and opportunities for non-market housing.</p>",Britannia Renewal ,britannia-renewal,published,NA,TRUE,detailed,Public,"Grandview-Woodland, Parks and Recreation, City planning, Project","Grandview-Woodland, Parks and Recreation, City planning, Project",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/a361ecc37c5c67db306e19bfa8d7490246541d2d/original/1630691304/7cc28eff0d9dd6334f3640f9d8680665_BR-SYC-Website-04.jpg?1630691304,Community members at Britannia chat while crafting. ,Britannia Renewal Logo against a blue background and artwork of a heart and eagle by Wade Davis,textwrap_right,0,16436,FALSE,2021-03-09T16:40:50-05:00,0,0,,tool,2020-02-10T18:42:22-05:00,2023-07-12T12:23:56-04:00,Consultation has concluded,FALSE,47,FALSE,participant,TRUE,NA,25175,NA,NA,NA
12605,projects,https://engagevancouver.ca.engagementhq.com/granville-connector,"<p>We&#39;re developing conceptual plans for a new walking, rolling, and cycling path across the Granville Bridge.</p><p>Thank you to everyone who provided input on the project so far. Through three phases of engagement, we&#39;ve heard from over 3,000 people at public open houses and workshops, and received over 9,000 survey responses!</p><p>We&#39;re recommending a refined version of the West Side Plus option that was shown in Phase 2, with changes based on public feedback.</p><p>See the <u><a href=""https://shapeyourcity.ca/granville-connector/news_feed/key-features"">key features</a></u> of the West Side Plus option.</p>",Granville Connector,granville-connector,archived,NA,TRUE,detailed,Public,"Closed, Transportation, Active transportation, Downtown, Fairview, Project","Closed, Transportation, Active transportation, Downtown, Fairview, Project",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/a866c3d9e4ae1507eac863639c7417de579d6083/original/1582056498/Granville_Bridge_Connector_-_Main_Image_copy.jpg_080c2e779f590ca14a1dc7328ea42845?1582056498,NA,NA,textwrap_right,0,5427,FALSE,2020-02-20T14:30:52-05:00,0,0,,tool,2020-02-14T09:45:24-05:00,2022-05-06T16:33:54-04:00,Consultation has concluded,FALSE,0,FALSE,participant,TRUE,NA,NA,NA,NA,NA
12864,projects,https://engagevancouver.ca.engagementhq.com/jhp,"<p><br></p><p>John Hendry (Trout Lake) Park is a beloved park located on the traditional territory of the xʷmə&theta;kʷəy̓əm (Musqueam), Sḵwx̱w&uacute;7mesh (Squamish) and səlil̓ilw̓ətaʔɬ (Tsleil-Waututh) Nations and in East Vancouver&rsquo;s Cedar Cottage neighbourhood. We are developing a long-range renewal plan for John Hendry Park that will recommend a broad range of park improvements to ensure the park remains a vibrant and well-loved community gathering space for decades to come.<br><br></p><p>On May 16 2022, the Park Board unanimously approved the John Hendry Park Renewal Plan presented by staff. <a href=""https://parkboardmeetings.vancouver.ca/2022/20220516/REPORT-JohnHendryTroutLakeParkRenewalPlan-20220516.pdf"" rel=""noopener noreferrer"" target=""_blank"">Download the John Hendry Park Renewal Plan and staff report</a> (19 MB). <br><br></p><hr><p><br><strong>Translations</strong></p><p>The automatic translation tool* is available for: Traditional Chinese [繁體中文] Simplified Chinese [简体中文] Punjabi [ਪੰਜਾਬੀ], Filipino [Tagalog], Vietnamese [Tiếng Việt], French [Fran&ccedil;ais], Korean [한국어], Japanese [日本語] and Spanish [Espa&ntilde;ol] &ndash; please see the tool at the top-right of this page.</p><p>*Note: the translation service on our website is hosted by Google Translate. As this is a third-party service, we cannot guarantee the quality or accuracy of any translated content.</p>",John Hendry (Trout Lake) Park Renewal Plan ,jhp,archived,,TRUE,detailed,Public,"Public space, Parks and Recreation, Kensington-Cedar Cottage, Water, Project, Approved","Public space, Parks and Recreation, Kensington-Cedar Cottage, Water, Project, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1637103280/b01e6753c17160511cf4dd5da7bca831_blob?1637103280-unsplash--undefined,John Hendry Park Master Plan,View of Trout Lake facing north with mountains in background and sandy beach in foreground,textwrap_center,0,15534,FALSE,2021-11-23T12:08:49-05:00,0,1,"John Hendry Park Graphic Workshop - November 19, 2019",widget,2020-03-04T13:51:03-05:00,2023-01-13T16:32:08-05:00,Consultation has concluded,FALSE,455,FALSE,participant,TRUE,NA,25175,NA,NA,NA
12930,projects,https://engagevancouver.ca.engagementhq.com/str-working-group,"<p>As part of our ongoing efforts to understand the impact of our short-term rental regulations, our volunteer community working group helps provide ongoing insights on community impacts from short-term rentals.</p><p>It is a platform to foster mutual understanding and dialogue between different community perspectives on short-term rentals. Input received will help evolve our short-term rental regulations.</p><p><em>Interested in receiving the latest news on the Community Working Group and our short-term rental regulations? <a href=""https://vancouver.ca/doing-business/short-term-rentals.aspx""></a><a href=""https://vancouver.ca/doing-business/short-term-rentals.aspx"">Sign up </a>to receive updates.</em></p>",Short-term rentals community working group,str-working-group,archived,,TRUE,detailed,Public,"Housing, Your property, Citywide, Project","Housing, Your property, Citywide, Project",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1601421204/blob_6a6e1541b09da688dffccad86a88989e?1601421204,Residents participating in a virtual working group,An important forum to discuss concerns and opportunities for short-term rentals in Vancouver. Members will provide both insights on community impacts and input to evolve short-term rental regulations. ,textwrap_right,0,6144,FALSE,2020-10-13T11:00:14-04:00,0,1,,widget,2020-03-10T12:53:18-04:00,2021-11-19T17:38:11-05:00,Consultation has concluded,FALSE,92,FALSE,participant,TRUE,NA,NA,NA,NA,NA
13848,projects,https://engagevancouver.ca.engagementhq.com/filipino-townhall,"<h2>Inaanyayahan po kayo ng Lungsod ng Vancouver sa isang online na Pulong Bayan, hatid sa inyo ng Tulayan.</h2><p>Mangyaring sumali po sa talakayan kasama ang City Manager Sadhu Johnston at ang COVID-19 Task Force Chief Darrell Reid para malaman ang kasalukuyang tugon ng Lungsod sa COVID-19 at ang ating mga susunod na hakbang.</p><p>Kailan: Miyerkules, Mayo 20, 2020, 3:00 ng hapon</p><p>Saan: Sa Zoom &ndash; <a href=""https://zoom.us/meeting/register/tJEsc-Crpz4sEtfrNZji59wAVjK98HBH4cJU"">Mag-rehistro dito para makalahok at makapanood</a></p><p>Ang programang ito ay mapapanood lamang sa Facebook Live ng Tulayan sa <a href=""https://www.facebook.com/Tulayan/"">www.facebook.com/Tulayan</a></p><p>Mangyari po lamang na ipasa ang inyong mga tanong/mga alalahanin bago mag- Pulong Bayan:</p><ul><li>Sa &ldquo;ipasa ang tanong&rdquo; sa kahon sa ibaba</li><li>O sa email: <a href=""mailto:margarita.pacis@vancouver.ca?subject=Filipino%20Town%20Hall"">margarita.pacis@vancouver.ca</a></li></ul><p>Inaabangan po naming makarinig sa inyo!</p><p><br></p><p>Paalala:</p><ul><li>Masasagot po lamang namin ang katanungan tungkol sa programa at serbisyo ng Lungsod ng Vancouver <a href=""http://vancouver.ca/covid19"">(mag-klik rito para sa karagdagang impormasyon)</a></li><li>Sisikapin po namin na masagot ang lahat ng mga tanong, pero sa limitadong oras ay maaring bigyan ng prayoridad ang mga sagot batay sa kahalagahan ng paksa.</li></ul><p><br></p><hr><p><br></p><p>[ENGLISH VERSION]</p><h2>The City of Vancouver invites you to an Online Town Hall hosted by Tulayan</h2><p>Join our City Manager Sadhu Johnston and COVID-19 Task Force Chief Darrell Reid in a discussion to learn more about our current response to COVID-19 and our next steps.</p><p>The Online Town Hall will be on Wednesday, May 20 from 3pm to 4pm on Facebook Live.</p><p>View the town hall on <a href=""https://www.facebook.com/events/3787270048009647"">Facebook Live</a></p><p>Participate in the town hall on <a href=""https://zoom.us/meeting/register/tJEsc-Crpz4sEtfrNZji59wAVjK98HBH4cJU"">Zoom</a> (registration required)</p><p>We encourage you to ask questions and engage with us during the session. You are a significant part of the multicultural fabric of our city, and we see this as an important opportunity to connect with you.</p><p>Consider sharing your questions and concerns in advance:</p><ul><li>In the &quot;submit your questions&quot; box below</li><li>Via email to <a href=""mailto:margarita.pacis@vancouver.ca?subject=Filipino%20Town%20Hall"">margarita.pacis@vancouver.ca</a></li></ul><p>We look forward to hearing from you!</p><p><br></p><p>Please note:</p><ul><li>We are only able to answer questions about <a href=""http://vancouver.ca/covid19"">our services and programs</a></li><li>We will try our best to answer everyone&#39;s questions, but given the limited amount of time we might have to prioritize the answers based on urgency of the subject matter.</li></ul><p><br></p>",Pilipinong Pulong Bayan (online) | Filipino Town Hall (online)           ,filipino-townhall,archived,,TRUE,detailed,Public,"Closed, Project","Closed, Project",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1589334415/blob_019d6c00b9b6008dd09a33821260b884?1589334415,Image of person on phone,Image of person on phone,textwrap_right,1,3040,FALSE,2020-05-14T14:19:09-04:00,2,1,,widget,2020-04-03T15:16:53-04:00,2021-05-10T23:35:43-04:00,Consultation has concluded,FALSE,8,FALSE,participant,TRUE,NA,NA,NA,NA,NA
13952,projects,https://engagevancouver.ca.engagementhq.com/100-w-49-ave,"<p><br></p><p><img src=""https://s3.ca-central-1.amazonaws.com/ehq-production-canada/db2266837a105e2b0defa32f42c2e30200a22172/original/1610576505/langara-college.JPG_fb9445da553bc64bd29ae9c75bc76bea?1610576505"" style=""width: 791px;"" class=""fr-fic fr-dib""></p><p><br></p><p>We would like your feedback on a rezoning application at 100 W 49th Ave. The proposal is to amend the existing CD-1 (55) to allow for the phased masterplan Langara College. This proposal includes:</p><p>Five academic and community buildings:</p><ul><li>Sites i, ii, and iv: <span style='color: rgb(68, 68, 68); font-family: Verdana, Arial, ""Trebuchet MS"", san-serif; font-size: 12.96px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>a maximum building height of six storeys (31 m)</span></li><li style=""margin: 0px 0px 0.2em; padding: 0px; list-style-type: disc; line-height: 1.5em;"">Site iii: a maximum building height of four storeys (21 m)</li><li style=""margin: 0px 0px 0.2em; padding: 0px; list-style-type: disc; line-height: 1.5em;"">Site v: a single-storey Indigenous Meeting House (10 m)</li><li style=""margin: 0px 0px 0.2em; padding: 0px; list-style-type: disc; line-height: 1.5em;"">A total floor space ratio (FSR) of 1.66 campus-wide</li></ul><p>This rezoning application is being considered under the <a href=""https://rezoning.vancouver.ca/applications/100w49thave/documents/LangaraCollegePolicyStatement.pdf"" rel=""noopener noreferrer"" target=""_blank""><em>Langara College Policy Statement.</em></a></p><p>Development Permits for specific buildings will be submitted individually with each phase of expansion.</p><p><strong>A community open house was held on Tuesday, July 23, 2019 from 5-8 pm in the Gallery space on the second floor of the Science and Technology building, (Langara College, 170 W 49th Ave).</strong></p>",100 W 49th Ave (Langara College) rezoning application,100-w-49-ave,archived,,TRUE,detailed,Public,"Rezoning, Oakridge, Approved","Rezoning, Oakridge, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/db2266837a105e2b0defa32f42c2e30200a22172/original/1610576521/langara-college.JPG_8ff79f5ceaf094a194ca9b926fffefda?1610576521,100  W 49th Ave - Langara College site plan,Your description here,textwrap_default,0,2948,FALSE,2021-02-08T19:46:33-05:00,0,0,,widget,2020-04-09T16:09:36-04:00,2022-08-09T18:39:34-04:00,"<p><strong>This application was approved by Council at Public Hearing on March 11th, 2021.</strong> </p>",FALSE,0,FALSE,participant,TRUE,NA,15404,NA,NA,NA
